t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text
8,People know video game violence is fake.,1,Violent games make youth more agressive/violent.,ARG,1,Violentgames,secondary,attack,,,
8,People know video game violence is fake.,,,ARG,2,Violentgames,secondary,attack,,4,Some youth have tried to emulate violence in games.
5,"Condoms/sex-ed better population control than ""one child"". Countries that simply improved access to contraceptives, Thailand and Indonesia for instance, did as much to reduce fertility as China, with its draconian policies.",2,"China's ""one child"" policy is key to stabilizing global population growth. With 1.3 billion people, a fifth of the world's population, China must be a major part of the solution to the global population crisis.",ARG,3,Chinaonechildpolicy,secondary,attack,,,
5,"Condoms/sex-ed better population control than ""one child"". Countries that simply improved access to contraceptives, Thailand and Indonesia for instance, did as much to reduce fertility as China, with its draconian policies.",1,"China's ""one child"" policy is the key to control China's population.",ARG,4,Chinaonechildpolicy,secondary,attack,,,
6,"India achieved stabilization without population control. There are ways to achieve population-size sustainability without implementing a ""one child"" policy. There are alternative means.",1,"China's ""one child"" policy is the key to control China's population.",ARG,5,Chinaonechildpolicy,secondary,attack,contradiction,,
8,"""One child"" is only partly responsible for reducing China's fertility rates. The most dramatic decrease in the rate actually occurred before the policy was imposed. Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9. After the one-child policy was introduced, there was a more gradual fall in the rate until 1995, and it has more or less stabilized at approximately 1.7 since then.",1,"China's ""one child"" policy is the key to control China's population.",ARG,6,Chinaonechildpolicy,secondary,attack,contradiction,,
11,"Solid population growth in China is a good thing. A rising population is a feature of a healthy society, not the beginning of the end for this sceptered land. Of course an increasing population puts pressure on any number of public facilities and services, from transport to schools to housing to hospitals. But it's also a motor for future economic growth which will provide for all of this.",1,"China's ""one child"" policy is the key to control China's population.",ARG,7,Chinaonechildpolicy,secondary,unrelated,,,
3,"Coca in its natural state is not a narcotic. What is absurd about the 1961 convention is that it considers the coca leaf in its natural, unaltered state to be a narcotic. The paste or the concentrate that is extracted from the coca leaf, commonly known as cocaine, is indeed a narcotic, but the plant itself is not.",1,Coca can be classified as a narcotic.,ARG,8,Cocanarcotic,secondary,attack,contradiction,,
16,"Because of its effects, coca would fit better into a category similar to that of caffeinebased plant stimulants — coffee, tea, guaraná and yerba mate. Because of the way it is assimilated, including the use of an alkaline reagent, its use would be more similar to the oriental custom of chewing the areca nut (areca catechu) wrapped in betel leaves (piper betle) and mixed with lime.",1,Coca can be classified as a narcotic.,ARG,9,Cocanarcotic,secondary,attack,,,
11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",7,Coca has no negative health effects.,ARG,10,Cocanarcotic,secondary,attack,contradiction,,
5,"Beauty pageants foster destructive perfectionism, self-criticism. William Pinsof, a clinical psychologist and president of the Family Institute at Northwestern University: ""Being a little Barbie doll says your body has to be a certain way and your hair has to be a certain way. In girls particularly, this can unleash a whole complex of destructive self-experiences that can lead to eating disorders and all kinds of body distortions in terms of body image"".",1,Child beauty contests teach good life lessons.,ARG,11,Childbeautycontests,secondary,attack,contradiction,,
